,BTC,ETH,USDT,USDC,BNB,XRP,BUSD,DOGE,ADA,MATIC,timestamp,ValueCategory
153,14030.0,3600.0,18690.0,2060.0,381.0,795.0,4059.0,296.0,161.0,178.0,2023-01-04 02:00:05.799376,24h Volume in M$
154,0.27,0.95,0.09,-0.02,0.56,0.88,0.02,-0.02,0.83,1.29,2023-01-04 02:00:05.806232,24h Change in %
155,321610.0,149710.0,66240.0,44170.0,39390.0,17500.0,16379.0,9450.0,8790.0,6890.0,2023-01-04 02:00:05.815203,Market Cap in M$
156,16837.5,1247.82,1.02,1.0,251.81,0.3508,1.0,0.07219,0.2592,0.8095,2023-01-04 02:30:04.107083,Price in $
157,14090.0,3670.0,18830.0,2070.0,383.0,798.0,4080.0,300.0,164.0,196.0,2023-01-04 02:30:04.113097,24h Volume in M$
158,0.22,1.08,0.07,-0.04,0.63,0.62,0.02,-0.28,1.13,2.51,2023-01-04 02:30:04.118500,24h Change in %
159,321760.0,150100.0,66250.0,44170.0,39470.0,17490.0,16390.0,9450.0,8820.0,6970.0,2023-01-04 02:30:04.124212,Market Cap in M$
160,16865.53,1252.61,1.02,1.0,255.92,0.3541,1.0,0.07288,0.2635,0.8141,2023-01-04 03:00:06.126429,Price in $
161,14330.0,3820.0,19190.0,2090.0,424.0,786.0,4160.0,306.0,170.0,205.0,2023-01-04 03:00:06.141501,24h Volume in M$
162,0.3,1.37,0.07,-0.03,2.05,1.52,-0.02,0.27,2.58,2.92,2023-01-04 03:00:06.156047,24h Change in %
163,322230.0,150590.0,66250.0,44180.0,40040.0,17630.0,16390.0,9510.0,8930.0,7000.0,2023-01-04 03:00:06.167098,Market Cap in M$
164,16931.1,1268.42,1.02,1.0,261.41,0.3551,1.0,0.07317,0.2683,0.8152,2023-01-04 03:30:03.410445,Price in $
165,15000.0,4380.0,20270.0,2180.0,488.0,792.0,4360.0,322.0,192.0,223.0,2023-01-04 03:30:03.416627,24h Volume in M$
166,0.63,2.5,-0.14,-0.04,4.17,2.26,-0.05,0.88,4.36,3.04,2023-01-04 03:30:03.422296,24h Change in %
167,323440.0,152520.0,66240.0,44180.0,40940.0,17710.0,16390.0,9560.0,9110.0,7010.0,2023-01-04 03:30:03.428248,Market Cap in M$
168,16989.79,1272.07,1.02,1.0,262.26,0.3534,1.0,0.0738,0.2687,0.8132,2023-01-04 04:00:05.973033,Price in $
169,15260.0,4550.0,20680.0,2200.0,516.0,789.0,4450.0,331.0,208.0,232.0,2023-01-04 04:00:05.979833,24h Volume in M$
170,0.96,3.05,0.07,-0.02,4.78,1.7,-0.11,1.46,4.81,2.74,2023-01-04 04:00:05.986943,24h Change in %
171,324810.0,153170.0,66240.0,44180.0,41160.0,17620.0,16390.0,9630.0,9150.0,7010.0,2023-01-04 04:00:05.993467,Market Cap in M$
172,16978.12,1271.54,1.02,1.0,260.99,0.354,1.0,0.0733,0.2676,0.813,2023-01-04 04:30:03.614892,Price in $
173,15730.0,4730.0,21240.0,2230.0,528.0,798.0,4560.0,343.0,217.0,236.0,2023-01-04 04:30:03.620968,24h Volume in M$
174,0.94,3.04,0.1,-0.02,4.31,1.75,-0.05,1.04,4.25,2.7,2023-01-04 04:30:03.626348,24h Change in %
175,324680.0,153010.0,66250.0,44180.0,40920.0,17650.0,16400.0,9590.0,9100.0,7000.0,2023-01-04 04:30:03.632081,Market Cap in M$
176,16989.57,1270.87,1.02,1.0,261.04,0.3526,1.0,0.07343,0.2671,0.8122,2023-01-04 05:00:04.944492,Price in $
177,15560.0,4660.0,21010.0,2220.0,521.0,794.0,4520.0,340.0,212.0,233.0,2023-01-04 05:00:04.951274,24h Volume in M$
178,0.98,2.79,-0.11,-0.01,4.03,1.55,-0.07,1.05,3.96,2.54,2023-01-04 05:00:04.957311,24h Change in %
179,324820.0,152980.0,66250.0,44180.0,40950.0,17610.0,16390.0,9610.0,9090.0,7000.0,2023-01-04 05:00:04.963640,Market Cap in M$
180,16978.71,1270.1,1.02,1.0,260.81,0.3545,1.0,0.07336,0.2676,0.8114,2023-01-04 05:30:03.405275,Price in $
181,15970.0,4870.0,21500.0,2220.0,538.0,791.0,4600.0,345.0,222.0,239.0,2023-01-04 05:30:03.411413,24h Volume in M$
182,0.97,2.79,-0.09,-0.02,3.98,1.19,0.01,1.03,4.12,2.28,2023-01-04 05:30:03.416856,24h Change in %
183,324540.0,152850.0,66250.0,44180.0,40900.0,17660.0,16390.0,9590.0,9100.0,6990.0,2023-01-04 05:30:03.422641,Market Cap in M$
184,16984.23,1269.64,1.02,1.0,260.24,0.3545,1.0,0.07332,0.2683,0.8136,2023-01-04 06:00:07.660756,Price in $
185,15990.0,4890.0,21490.0,2220.0,541.0,785.0,4560.0,341.0,223.0,240.0,2023-01-04 06:00:07.666808,24h Volume in M$
186,0.85,2.57,0.02,-0.02,3.63,0.64,0.02,0.64,4.14,2.63,2023-01-04 06:00:07.672181,24h Change in %
187,324610.0,152740.0,66250.0,44180.0,40810.0,17670.0,16390.0,9590.0,9120.0,7000.0,2023-01-04 06:00:07.677886,Market Cap in M$
188,16986.56,1270.31,1.02,1.0,257.66,0.3525,1.0,0.07339,0.268,0.8123,2023-01-04 06:30:03.538356,Price in $
189,15850.0,4880.0,21380.0,2210.0,549.0,789.0,4540.0,339.0,222.0,240.0,2023-01-04 06:30:03.544472,24h Volume in M$
