,time,crypto,pos,neg,neu,count
354,2023-01-05 11:30:07.326006,BNB,63,16,21,100
355,2023-01-05 11:30:07.365208,XRP,27,12,61,100
356,2023-01-05 11:30:07.418244,Binance USD,12,49,39,100
357,2023-01-05 11:30:07.464996,Dogecoin,71,1,28,100
358,2023-01-05 11:30:07.507395,Cardano,55,14,31,100
359,2023-01-05 11:30:07.550977,Polygon,31,16,53,100
360,2023-01-05 12:30:08.691687,Bitcoin,62,11,27,100
361,2023-01-05 12:30:08.732424,Ethereum,50,5,45,100
362,2023-01-05 12:30:08.771207,Tether,34,28,38,100
363,2023-01-05 12:30:08.826813,USD Coin,28,21,51,100
364,2023-01-05 12:30:08.878456,BNB,84,1,15,100
365,2023-01-05 12:30:08.913887,XRP,48,12,40,100
366,2023-01-05 12:30:08.965944,Binance USD,11,49,40,100
367,2023-01-05 12:30:09.006714,Dogecoin,60,3,37,100
368,2023-01-05 12:30:09.053604,Cardano,61,9,30,100
369,2023-01-05 12:30:09.101067,Polygon,57,15,28,100
370,2023-01-05 15:30:09.170083,Bitcoin,46,34,20,100
371,2023-01-05 15:30:09.209131,Ethereum,36,5,59,100
372,2023-01-05 15:30:09.249872,Tether,23,47,30,100
373,2023-01-05 15:30:09.304574,USD Coin,35,15,49,99
374,2023-01-05 15:30:09.360519,BNB,51,35,14,100
375,2023-01-05 15:30:09.403161,XRP,49,21,30,100
376,2023-01-05 15:30:09.454536,Binance USD,8,57,35,100
377,2023-01-05 15:30:09.497091,Dogecoin,43,14,43,100
378,2023-01-05 15:30:09.539889,Cardano,49,16,35,100
379,2023-01-05 15:30:09.587960,Polygon,60,7,32,99
380,2023-01-05 18:30:09.243629,Bitcoin,57,7,36,100
381,2023-01-05 18:30:09.284867,Ethereum,37,8,55,100
382,2023-01-05 18:30:09.327464,Tether,49,15,36,100
383,2023-01-05 18:30:09.382570,USD Coin,38,12,49,99
384,2023-01-05 18:30:09.436984,BNB,58,26,16,100
385,2023-01-05 18:30:09.485074,XRP,56,11,33,100
386,2023-01-05 18:30:09.533485,Binance USD,12,55,33,100
387,2023-01-05 18:30:09.573609,Dogecoin,35,8,57,100
388,2023-01-05 18:30:09.623516,Cardano,69,11,20,100
389,2023-01-05 18:30:09.669518,Polygon,51,9,40,100
390,2023-01-05 20:00:12.276801,Bitcoin,57,19,24,100
391,2023-01-05 20:00:12.316445,Ethereum,72,2,26,100
392,2023-01-05 20:00:12.360745,Tether,40,18,42,100
393,2023-01-05 20:00:12.414429,USD Coin,49,10,40,99
394,2023-01-05 20:00:12.468866,BNB,37,11,52,100
395,2023-01-05 20:00:12.514455,XRP,37,11,52,100
396,2023-01-05 20:00:12.561799,Binance USD,20,40,40,100
397,2023-01-05 20:00:12.601677,Dogecoin,43,6,51,100
398,2023-01-05 20:00:12.645273,Cardano,54,17,29,100
399,2023-01-05 20:00:12.692907,Polygon,59,14,27,100
400,2023-01-05 22:30:08.676104,Bitcoin,46,12,42,100
401,2023-01-05 22:30:08.717009,Ethereum,53,5,42,100
402,2023-01-05 22:30:08.756145,Tether,3,3,94,100
403,2023-01-05 22:30:08.805900,USD Coin,59,6,34,99
404,2023-01-05 22:30:08.858110,BNB,58,9,33,100
405,2023-01-05 22:30:08.907248,XRP,39,8,53,100
406,2023-01-05 22:30:08.953220,Binance USD,13,39,48,100
407,2023-01-05 22:30:08.992492,Dogecoin,37,7,56,100
408,2023-01-05 22:30:09.036063,Cardano,58,13,29,100
409,2023-01-05 22:30:09.086341,Polygon,74,8,18,100
410,2023-01-06 00:00:13.655663,Bitcoin,45,13,42,100
411,2023-01-06 00:00:13.695863,Ethereum,39,16,45,100
412,2023-01-06 00:00:13.734022,Tether,3,1,96,100
413,2023-01-06 00:00:13.781935,USD Coin,62,7,30,99
414,2023-01-06 00:00:13.837722,BNB,80,5,15,100
415,2023-01-06 00:00:13.882827,XRP,47,11,42,100
416,2023-01-06 00:00:13.927288,Binance USD,2,50,48,100
417,2023-01-06 00:00:13.966263,Dogecoin,42,12,45,99
